Common Name Used,Other common names and information,Latin name,kingdom,class,order,family,genius
Emydidae,family,Emydidae,,,,,
Empidonax,,Empidonax,Animal,Bird,Passeriformes,Tyrannidae,Empidonax
Ermine,"stoat, short-tailed weasel, Eurasian ermine, Beringian ermine",Mustela erminea,Animal,Mammal,Carnivora,Mustelidae,Mustela
Eurasian blackcap,blackcap,Sylvia atricapilla,Animal,Bird,Passeriformes,Sylviidae,Sylvia
Eurasian bullfinch,"Bullfinch, Common Bullfinch","Pyrhhula pyrhhula, Pyrrhula pyrrhula",Animal,Bird,Passeriformes,Fringillidae,Pyrrhula
Eurasian collared dove,Collared Dove,Streptopeliaÿdecaocto,Animal,Bird,Columbiformes,Columbidae,Streptopelia
Eurasian coot,"common coot, austrialian coot",Fulica atra,Animal,Bird,Gruiformes,Rallidae,Fulica
Eurasian eagle-owl,Eagle-Owl,"Bubo bubo, strix bubo",Animal,Bird,Strigiformes,Striginae,Bubo
Eurasian hobby,"Hobby, Northern Hobby",Falcoÿsubbuteo,Animal,Bird,Falconiformes,Falconidae,Falco
Eurasian jackdaw,"western jackdaw, European jackdaw,  jackdaw",Corvus monedula,Animal,Bird,Passeriformes,Corvidae,Coloeus
Eurasian jay,Jay,Garrulus glandarius,Animal,Bird,Passeriformes,Corvidae,Garrulus
Eurasian magpie,"Blackbilled magpie, common magpie, magpie",Pica pica,Animal,Bird,Passeriformes,Corvidae,Pica
Eurasian nuthatch,Wood nuthatch,Sitta europaea,Animal,Bird,Passeriformes,Sittidae,Sitta
Eurasian oystercatcher,oystercatcher,Haematopus ostralegus,Animal,Bird,Charadriiformes,Haematopodidae,Haematopus
Eurasian pigmy shrew,pygmy shrew,Sorex minutus,Animal,Mammal,Soricomorpha,Soricidae,Sorex
Eurasian red squirrel,red squirrel,Sciurus vulgaris ,Animal,Mammal,Rodentia,Sciuridae,Sciurus
Eurasian reed warbler,reed warbler,Acrocephalusÿscirpaceus,Animal,Bird,Passeriformes,Acrocephalidae,Acrocephalus
Eurasian scops owl,scoups owl,Otus scops,Animal,Bird,Strigiformes,Strigidae,Otus
Eurasian siskin,,"Carduelis spinus, Spinus spinus",Animal,Bird,Passeriformes,Fringillidae,Spinus
Eurasian skylark,Sky Lark,Alauda arvensis,,,,,
Eurasian sparrowhawk,"northern sparrowhawk, sparrowhawk",Accipiter nisus,Animal,Bird,Accipitriformes,Accipitridae,Accipiter
Eurasian teal,,Anas crecca,Animal,Bird,Anseriformes,Anatidae,Anas
Eurasian tree sparrow,"tree sparrow, german sparrow",Passer montanus,Animal,Bird,Passeriformes,Passeridae,Passer
Eurasian treecreeper,,Certhiaÿfamiliaris,,,,,
Eurasian wigeon,European wigeon,"Anas penelope, Mareca penelope",Animal,Bird,Anseriformes,Anatidae,Mareca
Eurasian woodcock,,"Scolopax rusticola, Scolopax rusticola rusticola",,,,,
Eurasian wryneck,Norther wryneck,Jynx torquilla,Animal,Bird,Piciformes,Picidae,Jynx
European adder,"European viper, Common Adder, Common viper",Vipera berus,Animal,Reptile,Squamata,Viperidae,Vipera
European badger,"Eurasian badger, badger",Meles meles,Animal,Mammal,Carnivora,Mustelidae,Meles
European goldfinch ,Eurasian Goldfinch,Carduelis carduelis,Animal,Bird,Passeriformes,Fringillidae,Carduelis
European green woodpecker,green woodpecker,Picus viridis,Animal,Bird,Piciformes,Picidae,Picus
European greenfinch,Green finch,"Carduelis chloris, Chloris chloris",Animal,Bird,Passeriformes,Fringillidae,Chloris
European honey buzzard,,Pernis apivorus,Animal,Bird,Accipitriformes,Accipitridae,Pernis
European nightjar,,Caprimulgus europaeus,,,,,
European pied flycatcher,Pied flycatcher,"Ficedula hypoleuca, Ficedula hypoleuca",Animal,Bird,Passeriformes,Muscicapidae,Ficedula
European polecat,"common polecat, black, forest, pole cat",Mustela putorius,Animal,Mammal,Carnivora,Mustelidae,Mustela
European robin,"robin, robin readbreast","Erithacus rubecula, Erithacus rubecula ",Animal,Bird,Passeriformes,Muscicapidae,Erithacus
European serin,serin,Serinus serinus,Animal,Bird,Passeriformes,Fringillidae,Serinus
European starling,"Common Starling, Starling",Sturnus vulgaris,Animal,Bird,Passeriformes,Sturnidae,Sturnus
European turtle dove,,Streptopelia turtur,Animal,Bird,Columbiformes,Columbidae,Streptopelia
Euxesta,genus,Euxesta,Animal,Insect,Diptera,Otitidae,Euxesta
Face fly,,Musca autumnalis ,Animal,Insect,Diptera,Muscidae,Musca
Fannia,,Fannia,Animal,Insect,Brachycera,Fanniidae,Fannia
Fieldfare,,Turdus pilaris,Animal,Bird,Passeriformes,Turdidae,Turdus
Finch,Finch is a disambiguous term for seed eating passerine birds and they do not have to be true finches.  Undefined,,Animal,Bird,Passeriformes,Fringillidae,
Fisher,Fisher cat,"Martesÿpennantiÿ, Pekania pennanti",Animal,Mammal,Carnivora,Mustelidae,Pekania
Flatback sea turtle,,"Natator depressus, Chelonia depressa, Natator tessellatus",,,,,
Flesh Fly,,Sarcophagidae,Animal,Insect,Diptera,Sarcophagidae,
Fly,The Order flies are in,Diptera,Animal,Insect,Diptera,,
Flying fox,Flying fox is a general term used to mention multiple different species of large fruit bats. Genus,,Animal,Mammal,Chiroptera,Pteropodidae,Pteropus
Forsten's tortoise,"East Indian Tortoise, travancore tortoise, Sulawesi tortoise",Indotestudo forstenii,,,,,
Fox sparrow,,Passerella iliaca,Animal,Bird,Passeriformes,Passerellidae,Passerella
Franklin's gull,,Leucophaeus pipixcan,Animal,Bird,Charadriiformes,Laridae,Leucophaeus
Frog,Frogs are part of the order anura,,Animal,Amphibia,Anura,,
Fulvous whistling duck,"Fulvous whistling-duck, fulvous tree duck",Dendrocygnaÿbicolorÿ,Animal,Bird,Anseriformes,Anatidae,Dendrocygna
Gadwall,,"Anas strepera, Mareca strepera",Animal,Bird,Anseriformes,Anatidae,Mareca
Gambel's quail,,Callipepla gambelii,Animal,Bird,Galliformes,Odontophoridae,Callipepla
Garden warbler,,Sylvia borin,Animal,Bird,Passeriformes,Sylviidae,Sylvia
Gastropod,class of animal includes snails and slugs.,Gastropoda,Animal,Gastropoda,,,
Geoffroy's bat,Geoffroy's Myotis,Myotisÿemarginatus,Animal,Mammal,Chiroptera,Vespertilionidae,Myotis
Giant Fulmar,"Giant Petrel, Southern Giant Petrel, Stinkpot",Macronectes giganteus,Animal,Bird,Procellariiformes,Procellariidae,Macronectes
Gila monster,,Heloderma suspectum,,,,,
Glaucous-winged gull,,Larus glaucescens,Animal,Bird,Charadriiformes,Laridae,Larus
Godwit,,Limosa,,,,,
Goldcrest,,Regulus regulus,,,,,
Golden eagle,,Aquila chrysaetos,Animal,Bird,Accipitriformes,Accipitridae,Aquila
Golden-crowned sparrow,,Zonotrichia atricapilla,Animal,Bird,Passeriformes,Passerellidae,Zonotrichia
Goose,family,,Animal,Bird,Anseriformes,Anatidae,
Grand Cayman Iguana,"Grand Cayman Ground Iguana, Grand Cayman Blue Iguana, Grand Cayman Rock Iguana, blue iguana",Cyclura lewisi,Animal,Reptile,Squamata,Iguanidae,Cyclura
Grass snake,European grass snake,Natrix natrix,Animal,Reptile,Squamata,Colubridae,Natrix
Gray catbird,,Dumetella carolinensis,,,,,
Gray Duck,Pacific Black Duck,Anas superciliosa,,,,,
Gray Long-eared Batÿ,,,,,,,
Great black-backed gull,,Larus marinus,Animal,Bird,Charadriiformes,Laridae,Larus
Great Blue Heron,,Ardea herodias,Animal,Bird,Pelecaniformes,Ardeidae,Ardea
Great cormorant,"Black Cormorant, Large Cormorant, Black Shag",Phalacrocorax carbo,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax
Great grey shrike,Northern shrike,Lanius excubitor,Animal,Bird,Passeriformes,Laniidae,Lanius
Great horned owl,"tiger owl, hoot owl",Bubo virginianus,Animal,Bird,Strigiformes,Strigidae,Bubo
Great reed warbler,,Acrocephalus arundinaceus,Animal,Bird,Passeriformes,Acrocephalidae,Acrocephalus
Great spotted woodpeckerÿ,,Dendrocopos major,Animal,Bird,Piciformes,Picidae,Dendrocopos
Great-tailed grackle,Mexican Grackle,Quiscalus mexicanus,Animal,Bird,Passeriformes,Icteridae,Quiscalus
Great tit,Great titmouse,Parus Major,Animal,Bird,Passeriformes,Paridae,Parus
Greater white-fronted goose,,Anser albifrons,Animal,Bird,Anseriformes,Anatidae,Anser
Grebe,grebes are part of the same order,Podicepediformes,Animal,Bird,Podicipediformes,Podicipedidae,
Green basilisk,,Basiliscus plumifrons,,,,,
Green bottle fly,,Calliphoridae Lucilia illustris,Animal,Insect,Diptera,Calliphoridae,Lucilia
Green heron,,Butorides virescens,Animal,Bird,Pelecaniformes,Ardeidae,Butorides
Green Iguana,Common Green Iguana,Iguana iguana,,,,,
Green monkey,sabaeus monkey,Chlorocebus sabaeus,Animal,Mammal,Primates,Cercopithecidae,Chlorocebus
Green sandpiper ,,Tringa ochropus,,,,,
Green Tree Python,Southern Green Python,"Morelia viridis, Chondropython viridis, Python viridis, Chondropython azureus",,,,,
Green-winged teal,,"Anas carolinensis, Anas crecca carolinensis ",,,,,
Grey catbird,,Dumetella carolinensis,Animal,Bird,Passeriformes,Mimidae,Dumetella
Grey heron,gray heron,Ardea cinerea,Animal,Bird,Pelecaniformes,Ardeidae,Ardea
Grey long-eared bat,grey big eared bat,Plecotus austriacus,Animal,Mammal,Chiroptera,Vespertilionidae,Plecotus
Grey parrot,"African grey parrot, Congo grey perrot",Psittacus erithacus,,,,,
Grey partridge,"grey-legged partridge, English partridge, Hungarian partridge, hun",Perdix perdix,Animal,Bird,Galliformes,Phasianidae,Perdix
Grey plover ,Black-bellied Plover,Pluvialis squatarola,,,,,
Grey wagtail,,Motacilla cinerea,Animal,Bird,Passeriformes,Motacillidae,Motacilla
Grey-cheek thrush,,Catharus minimus,Animal,Bird,Passeriformes,Turdidae,Catharus
Grey-headed albatross,,"Diomedea chrysostoma, Thalassarche chrysostoma",Animal,Bird,Procellariiformes,Diomedeidae,Thalassarche
Greylag goose,,Anser anser,Animal,Bird,Anseriformes,Anatidae,Anser
Griffon vulture,,Gyps fulvus,Animal,Bird,Accipitriformes,Accipitridae,Gyps
Groundhog,woodchuck,Marmota monax ,Animal,Mammal,Rodentia,Sciuridae,Marmota
Grouse,"Grouse are from the same tribe, but for this they are from the same family",Phasianidae,Animal,Bird,Galliformes,Phasianidae,
Guinea baboon,,Papio papio,Animal,Mammal,Primates,Cercopithecidae,Papio
Gulls,Gulls are all part of the same family,Laridae,Animal,Bird,Charadriiformes,Laridae,
Hairy woodpecker ,,Picoides villosus,,,,,
Harris's sparrow,,Zonotrichiaÿquerula,,,,,
Hawfinch,,Coccothraustes coccothraustes,Animal,Bird,Passeriformes,Fringillidae,Coccothraustes
Hawk,There are many different types of hawks that are in the order Accipitriformes and hawks are spread across families.,Accipitriformes,,,,,
Heermann's gull ,,Larus heermanni,Animal,Bird,Charadriiformes,Laridae,Larus
Heermann's kangaroo rat,,Dipodomys heermani,Animal,Mammal,Rodentia,Heteromyidae,Dipodomys
Helina,,,Animal,Insect,Diptera,Muscidae,Helina
Hermit thrush,,Catharus guttatus,Animal,Bird,Passeriformes,Turdidae,Catharus
Heron,Herons are all part of the same family,Ardeidae,,,,,
Herring gull,There will be no differentiation between American and EuropeanÿHerring gulls.  Though assumptions can be made based on the study location it was not in most studies.,Larus argentatus,Animal,Bird,Charadriiformes,Laridae,Larus
Heteromyidae ,A family of rodents,Heteromyidae ,Animal,Mammal,Rodentia,Heteromyidae ,
Highland Copperhead,"Alpine copperhead, Ramsay's copperhead",Austrelaps ramsayi,Animal,Reptile,Squamata,Elapidae,Austrelaps
Hooded crow,"scald crow, hoodie.",Corvus cornix,Animal,Bird,Passeriformes,Corvidae,Corvus
Horned lark ,,Eremophila alpestris,Animal,Bird,Passeriformes,Alaudidae,Eremophila
House Crow,,Corvus splendens,,,,,
House finch,,"Haemorhous mexicanus, Carpodacus mexicanus",Animal,Bird,Passeriformes,Fringillidae,Haemorhous
House fly,,Musca domestica,Animal,Insect,Diptera,Muscidae,Musca
House mouse,,Mus musculus,Animal,Mammal,Rodentia,Muridae,Mus
House sparrow,"Domestic Sparrow, Common Sparrow, English sparrow",Passer domesticus,Animal,Bird,Passeriformes,Passeridae,Passer
House wren,,Troglodytes aedon,Animal,Bird,Passeriformes,Troglodytidae,Troglodytes
Hydrotaea,,Hydrotaea,Animal,Insect,Diptera,Muscidae,Hydrotaea
Icterine warbler,,Hippolais icterina,Animal,Bird,Passeriformes,Acrocephalidae,Hippolais
Inca dove,Mexican Dove,Scardafella inca,Animal,Bird,Columbiformes,Columbidae,Columbina
Indian Star Tortoise,,"Geochelone elegans, Testudo stellata, Testudo actinodes, Testudo megalopus ",,,,,
Indigo bunting,,Passerina cyanea,Animal,Bird,Passeriformes,Cardinalidae,Passerina
Jack snipe,,Lymnocryptes minimus,,,,,
Johnsonia,,Johnsonia,Animal,Insect,Diptera,Sarcophagidae,Johnsonia
Junco,Junco is a genus,Junco,Animal,Bird,Passeriformes,Passerellidae,Junco
Jungle crow,"eastern jungle crow, japanese jungle crow","Corvus levaillantii, Corvus levaillanitii japonensis",,,,,
Jurinia,,Jurinia,Animal,Insect,Diptera,Tachinidae,Jurinia
Kelp Gull,"Dominican gull, black-backed gull, southern black-backed gull, molly hawk",Larus dominicanus,Animal,Bird,Charadriiformes,Laridae,Larus
Koala,,Phascolarctos Cinereus,Animal,Mammal,Diprotodontia,Phascolarctidae,Phascolarctos
Lace monitor,,Varanus varius,Animal,Reptile,Squamata,Varanidae,Varanus
Ptarmigan,Genus,Lagopus,Animal,Bird,Galliformes,Phasianidae,Lagopus
Lark sparrow,,Chondestes grammacus,Animal,Bird,Passeriformes,Passerellidae,Chondestes
Lawrence's goldfinch,,"Carduelis lawrencei, Spinus lawrenceiÿ",Animal,Bird,Passeriformes,Fringillidae,Spinus
Lazuli bunting,,Passerina amoena,Animal,Bird,Passeriformes,Cardinalidae,Passerina
Least weasel,"little weasel, common weasel, weasel",Mustela nivalis,Animal,Mammal,Carnivora,Mustelidae,Mustela
Leopard gecko,,Eublepharis macularius,,,,,
Leopard tortoise,,"Testudo pardalis babcocki, Geochelone pardalis",,,,,
Lesser black-backed gull,,Larus fuscus,Animal,Bird,Charadriiformes,Laridae,Larus
Lesser kestrel,,Falco naumanni,Animal,Bird,Falconiformes,Falconidae,Falco
Lesser spotted woodpecker,,"Dendrocopos minor, Dryobates minor ",Animal,Bird,Piciformes,Picidae,Dryobates
Lesser whitethroat,,Sylvia curruca,Animal,Bird,Passeriformes,Sylviidae,Sylvia
Lesser yellow-legs,,"Totanus flavipea, Tringa flavipes",Animal,Bird,Charadriiformes,Scolopacidae,Tringa
Limnophora,,Limnophora,Animal,Insect,Diptera,Muscidae,Limnophora
Lincoln?s sparrow,,"Melospiza lincolnii, Fringilla lincolnii, Zonotrichia lincolniiÿ",Animal,Bird,Passeriformes,Passerellidae,Melospiza
Liopygia,genus,Liopygia,Animal,Insect,Diptera,Sarcophagidae,Liopygia
Liosarcophaga,genus,Liosarcophaga,Animal,Insect,Diptera,Sarcophagidae,Liosarcophaga
Lispoides aequifrons,,Lispoides aequifrons,Animal,Insect,Diptera,Muscidae,Lispoides
Little owl,"owl of Athena, owl of Minerva",Athene noctua ,Animal,Bird,Strigiformes,Strigidae,Athene
Little ringed plover,,Charadrius dubius,,,,,
Little stint,,Calidris minuta,,,,,
Loggerhead shrike,,,Animal,Bird,Passeriformes,Laniidae,Lanius
Long-eared owl,"northern long-eared owl, lesser horned owl, cat owl","Asioÿotus, Strix otus",Animal,Bird,Strigiformes,Strigidae,Asio
Long-tailed macaques,Crab-eating macaque,Macaca fascicularis,Animal,Mammal,Primates,Cercopithecidae,Macaca
Long-tailed tit,Long-tailed bushtit,Aegithalos caudatus,Animal,Bird,Passeriformes,Aegithalidae,Aegithalos
Long-tailed vole,"San Bernardino long-tailed vole, Coronation Island vole",Microtus longicaudus,Animal,Mammal,Rodentia,Cricetida,Microtus
Loon,Loons are part of the same genus ,Gavidae,Animal,Bird,Gaviiformes,Gaviidae,Gavia
Lorikeet,Lorikeets are in a sub-family or tribe of the family psittaculidae,Psittaculidae,,,,,
Lowland copperhead,"copperhead snake, copperhead",Austrelaps superbus,Animal,Reptile,Squamata,Elapidae,Austrelaps
Lowland paca,"Lappe, paca, spotted paca","Cuniculusÿpaca, 	Agouti paca",Animal,Mammal,Rodentia,Cuniculidae,Cuniculus
Mained duck,"Australian wood duck, maned goose",Chenonetta jubata,Animal,Bird,Anseriformes,Anatidae,Chenonetta
Mallard,Mallard duck,Anas platyrhynchos,Animal,Bird,Anseriformes,Anatidae,Anas
Mantled guereza,"Black and White Colobus, Eastern black and white colobus, Abyssinian black and white colobus",Colobus guereza,Animal,Mammal,Primates,Cercopithecidae,Colobus
Mantidophaga,,Mantidophaga,Animal,Insect,Diptera,Sarcophagidae,Mantidophaga
Marginated tortoiseÿ,,"Testudo marginata, Testudo campanulata , Testudo nemoralis , Testudo weissingeri, Testudo marginata sarda ",,,,,
Marsh tit,,Parus palustris,Animal,Bird,Passeriformes,Paridae,Poecile
Marsh warbler,,Acrocephalus palustris,Animal,Bird,Passeriformes,Acrocephalidae,Acrocephalus
Marten,Martens are part of the same genus,Martes,Animal,Mammal,Carnivora,Mustelidae,Martes
Meadow pipit,,Anthus pratensis,Animal,Bird,Passeriformes,Motacillidae,Anthus
Mecynocorpus,,Mecynocorpus,Animal,Insect,Diptera,Sarcophagidae,Mecynocorpus
Metoposarcophaga,,Metoposarcophaga,Animal,Insect,Diptera,Sarcophagidae,Metoposarcophaga
Meadow vole,"group may be different species Easter medow vole, western medow vole, florida salt marsh vole",Microtus pennsylvanicus,Animal,Mammal,Rodentia,Cricetidae,Microtus
Merlin,,Falco columbarius,Animal,Bird,Falconiformes,Falconidae,Falco
Microtus,the genus of voles,Microtus,Animal,Mammal,Rodentia,Cricetidae,Microtus
Microcerella,genus,Microcerella,Animal,Insect,Diptera,Sarcophagidae,Microcerella
Mistle thrush,,Turdus viscivorus,,,,,
Montagu's harrier,,Circus pygargus,Animal,Bird,Accipitriformes,Accipitridae,Circus
Monitor lizard,,albigularis ionidesi,,,,,
Morellia,genus,Morellia,Animal,Insect,Diptera,Muscidae,Morellia
Moth,,Lepidoptera,Animal,Insect,Lepidoptera,,
Mottled duck,,Anas fulvigula,Animal,Bird,Anseriformes,Anatidae,Anas
Mountain beaver,Sewellel,Aplodontia rufa,Animal,Mammal,Rodentia,Aplodontiidae,Aplodontia
Mountain bluebird,,Sialia currucoides,Animal,Bird,Passeriformes,Turdidae,Sialia
Mourning dove,"American mourning dove, rain dove, turtle dove, Carolina pigeon, Carolina turtle dove","Zenaida macroura, Columba macroura",Animal,Bird,Columbiformes,Columbidae,Zenaida
Mourning warbler,,Geothlypis philadelphia,,,,,
Mouse,Things wint the name mouse are all over the place  but are all in the same order besides marsupial mice,Rodentia,Animal,Mammal,Rodentia,,
Mouse eared bat,"Mouse-eared Myotis, Greater Myotis, Greater Mouse-eared Bat, Large Mouse-eared Bat",Myotis myotis,Animal,Mammal,Chiroptera,Vespertilionidae,Myotis
Muridae ,A family of rodents,,Animal,Mammal,Rodentia,Muridae ,
Muscidae,family,Muscidae,Animal,Insect,Diptera,Muscidae,
Muscina,genus,Muscina,Animal,Insect,Diptera,Muscidae,Muscina
Muskrat,"muskbeaver, common muskrat","Ondatrini zibethicus, Ondatra zibethicus",Animal,Mammal,Rodentia,Cricetidae,Ondatra
Mute swan,,Cygnus olor,Animal,Bird,Anseriformes,Anatidae,Cygnus
Myrtle warbler,Yellow-rumped Warbler,"Setophaga coronata coronata, Dendroica coronata hooveri , Setophaga coronata coronata, Dendroica coronata",Animal,Bird,Passeriformes,Parulidae,Setophaga
Nashville warbler,,Oreothlypisÿruficapilla,,,,,
Nathusius's Pipistrelle,,Pipistrellusÿnathusiiÿ,Animal,Mammal,Chiroptera,Vespertilionidae,Pipistrellus
Natterer's bat,Natterer's Myotis,Myotisÿnattereri,Animal,Mammal,Chiroptera,Vespertilionidae,Myotis
Neobellieria,genus,Neobellieria,Animal,Insect,Diptera,Sarcophagidae,Neobellieria
Neomyia cornicina,,Neomyia cornicina,Animal,Insect,Diptera,Muscidae,Neomyia
North american beaver,"American beaver, Canadian beaver",Castor canadensis ,Animal,Mammal,Rodentia,Castoridae,Castor
North american river otter,"northern river otter, river otter",Lontra canadensis,Animal,Mammal,Carnivora,Mustelidae,Lontra
Northern cardinal,"Cardinal, common or virginia cardinal","Cardinalis cardinalis, Richmondena cardinalis",Animal,Bird,Passeriformes,Cardinalidae,Cardinalis
Northern flicker,,Colaptes auratus,Animal,Bird,Piciformes,Picidae,Colaptes
Northern goshawk,goshawk,Accipiter gentilis,Animal,Bird,Accipitriformes,Accipitridae,Accipiter
Northern grasshopper mouse,,Onychomys leucogaster,Animal,Mammal,Rodentia,Cricetidae,Onychomys
Northern harrier,Hen harrier,Circus cyaneus,Animal,Bird,Accipitriformes,Accipitridae,Circus
Northern hawk owl,"Hawk owl, northern-hawk owl",Surnia ulula,Animal,Bird,Strigiformes,Strigidae,Surnia
Northern lapwing,Lapwing,Vanellus vanellus,Animal,Bird,Charadriiformes,Charadriidae,Vanellus
Northern mockingbird,,Mimus polyglottos,Animal,Bird,Passeriformes,Mimidae,Mimus
Northern pintail,pintail,Anas acuta,Animal,Bird,Anseriformes,Anatidae,Anas
Northern rough-winged swallow,,Stelgidopteryx serripennis,Animal,Bird,Passeriformes,Hirundinidae,Stelgidopteryx
Northern shovler,,"Anas clypeata, Spatula clypeata",Animal,Bird,Anseriformes,Anatidae,Spatula
